Game,Score
Tomb Raider,9.1
Tomb Raider,9.1
Bit.Trip Presents: Runner 2 Future Legend of Rhythm Alien,9
Bit.Trip Presents: Runner 2 Future Legend of Rhythm Alien,9
Tomb Raider,9.1
Bit.Trip Presents: Runner 2 Future Legend of Rhythm Alien,9
Gunman Clive,8.7
Puddle,6.8
Dynasty Warriors 7: Empires,7.5
Retrovirus,6.6
Akaneiro: Demon Hunters,4.5
Crysis 3,8.5
Relic Rush,7
Crysis 3 ,8.5
Crysis 3,8.5
Metal Gear Rising: Revengeance,8.5
Metal Gear Rising: Revengeance,8.5
Fist of the North Star: Ken's Rage 2,3.7
Bientot L'ete,7
Special Forces: Team X,4.5
Special Forces: Team X,4.5
Bientot L'ete,7
Let's Fish! Hooked On,3.4
Dungeonland,4.6
Aliens: Colonial Marines,4.5
Aliens: Colonial Marines,5
Aliens: Colonial Marines,4.5
Proteus,8.5
Brain Age: Concentration Training,7.8
Dead Space 3,7.8
Dead Space 3,7.8
Dead Space 3,7.8
Omerta: City of Gangsters,5.2
Ikachan,7.3
Sly Cooper: Thieves in Time,8
Sly Cooper: Thieves in Time,8
Might and Magic: Clash of Heroes,8.5
Fluidity: Spin Cycle,6
Antichamber ,8.6
Antichamber,8.6
Pixel People,9
Fire Emblem Awakening,9.6
Skulls of the Shogun,7
Hitman HD Trilogy,8
Banana Kong,6
Hitman HD Trilogy,8
Dungelot,8.9
Fieldrunners 2,8.1
Corpse Party: Book of Shadows,5.8
The Cave,7.9
The Cave,7.9
Strike Suit Zero,7.5
The Cave,7.9
Tokyo Crash Mobs,7.7
Final Fantasy: All The Bravest,2.5
Ni no Kuni: Wrath of the White Witch,9.4
Marvel's The Avengers: Battle For Earth,5
Borderlands 2: Sir Hammerlock's Big Game Hunt,6.9
Borderlands 2: Sir Hammerlock's Big Game Hunt,6.9
Borderlands 2: Sir Hammerlock's Big Game Hunt,6.9
Unchained Blades,8
DmC: Devil May Cry,8.9
DmC: Devil May Cry,8.5
The Earth Defense Force 2017 Portable ,7.5
007 Legends,4.2
Joe Danger,9.1
DmC: Devil May Cry,8.9
Anarchy Reigns,5.9
Anarchy Reigns,5.9
Primordia,6.8
Kentucky Route Zero: Act 1,8.3
Mutant Mudds,9.1
Infestation: Survivor Stories,3
Labyrinth Legends,7.7
Ace of Spades,5.9
Monsters Inc. Run,7.7
Pudding Monsters,7.3
Kinect Party,8.5
Oddworld: Stranger's Wrath HD,7.5
Sky Gamblers: Storm Raiders,7.1
AirBuccaneers,7.5
Theatrhythm Final Fantasy,8
Sing Party,6.3
Street Fighter X Mega Man,7
Grand Theft Auto: Vice City,7.7
Sonic &amp; All-Stars Racing Transformed,7
Sonic &amp; All-Stars Racing Transformed,7
The Sims 3: Seasons,7.5
Tank! Tank! Tank! ,5.8
Guardians of Middle-earth,7.5
